BRUN,65.20461,-16.86597,536.0
DYNG,65.05191,-16.64809,957.0
DDAL,65.07739,-16.93341,801.0
FJAL,65.00945,-17.03759,837.0
FJAS,65.02470,-17.09217,798.0
FLUR,64.84354,-17.02693,838.0
FLAT,65.18279,-16.49796,728.0
FREF,65.35190,-16.28355,533.0
HERD,65.18157,-16.39731,686.0
HELI,65.19875,-16.21843,491.0
